Date,Open,High,Low,Close,Volume
02/24/2017,176.75,178.80,176.10,177.44,"4,197,017"
02/23/2017,175.97,177.00,175.70,176.86,"3,501,522"
02/22/2017,174.98,175.75,174.01,175.36,"2,832,036"
02/21/2017,173.92,176.17,173.68,175.56,"4,231,664"
02/20/2017,172.71,172.71,172.71,172.71,"0,000"
02/17/2017,170.41,173.25,170.40,172.71,"4,982,657"
02/16/2017,169.64,170.81,168.75,170.81,"3,069,947"
02/15/2017,168.42,169.95,168.35,169.30,"4,033,078"
02/14/2017,167.70,168.80,167.22,168.50,"2,580,278"
02/13/2017,166.45,169.07,166.35,168.03,"3,765,027"
02/10/2017,165.25,166.45,164.47,166.23,"2,689,719"
02/09/2017,164.67,165.09,164.06,164.28,"3,451,132"
02/08/2017,165.00,165.24,163.69,163.81,"3,041,594"
02/07/2017,165.00,167.42,164.87,166.50,"4,243,139"
02/06/2017,162.42,164.08,162.38,163.98,"3,110,489"
02/03/2017,162.99,163.56,162.31,162.40,"2,981,662"
02/02/2017,163.22,163.97,160.82,162.26,"3,791,625"
02/01/2017,164.25,165.81,163.12,163.97,"3,137,956"
01/31/2017,164.96,165.10,163.22,163.42,"5,350,206"
01/30/2017,165.92,165.99,163.82,165.57,"5,456,015"
01/27/2017,169.21,169.80,167.01,167.70,"4,883,230"
01/26/2017,167.25,170.00,167.25,169.12,"5,436,834"
01/25/2017,163.59,168.65,163.24,167.36,"7,477,733"
01/24/2017,158.58,160.93,157.84,160.55,"3,925,624"
01/23/2017,158.94,159.50,157.29,157.84,"3,929,835"
01/20/2017,159.81,160.30,158.23,159.53,"3,343,530"
01/19/2017,158.87,159.87,157.91,159.00,"3,143,963"
01/18/2017,157.55,159.05,156.75,158.32,"2,087,283"
01/17/2017,158.20,159.04,157.23,157.67,"2,758,738"
01/16/2017,158.83,158.83,158.83,158.83,"0,000"
01/13/2017,158.74,159.58,158.34,158.83,"2,435,391"
01/12/2017,159.15,159.16,156.67,158.29,"3,020,336"
01/11/2017,159.54,159.70,158.28,159.40,"2,416,387"
01/10/2017,158.96,159.94,158.57,159.07,"2,988,302"
01/09/2017,159.00,159.24,158.17,158.32,"2,838,600"
01/06/2017,158.98,159.66,157.89,159.10,"2,426,662"
01/05/2017,158.41,159.70,157.40,158.71,"2,795,684"
01/04/2017,157.81,159.23,157.81,158.62,"3,189,810"
01/03/2017,156.30,157.14,155.21,156.97,"3,426,124"
01/02/2017,155.68,155.68,155.68,155.68,"0,000"
12/30/2016,156.49,156.79,154.96,155.68,"2,028,382"
12/29/2016,156.00,156.75,155.16,155.69,"1,803,554"
12/28/2016,157.12,157.35,156.01,156.10,"1,810,321"
12/27/2016,158.41,158.48,156.91,157.48,"1,858,139"
12/26/2016,157.81,157.81,157.81,157.81,"0,000"
12/23/2016,158.27,158.27,156.51,157.81,"2,135,528"
12/22/2016,158.50,158.99,156.25,157.46,"3,957,361"
12/21/2016,156.69,158.50,156.65,157.48,"2,326,366"
12/20/2016,156.96,157.89,155.95,156.39,"2,270,094"
12/19/2016,155.16,157.10,155.07,156.18,"3,002,737"
12/16/2016,153.88,156.00,153.14,154.50,"5,885,499"
12/15/2016,153.93,155.24,153.06,153.77,"2,888,644"
12/14/2016,156.23,156.37,154.18,154.47,"3,640,207"
12/13/2016,159.10,160.07,154.88,156.66,"5,650,049"
12/12/2016,156.00,158.00,154.30,157.16,"4,249,779"
12/09/2016,155.65,156.88,155.42,156.49,"2,707,872"
12/08/2016,154.60,155.97,154.14,155.39,"2,928,370"
12/07/2016,151.67,154.31,151.07,154.14,"2,955,613"
12/06/2016,150.84,152.64,150.02,152.24,"3,471,352"
12/05/2016,153.24,153.75,151.85,152.16,"2,855,933"
12/02/2016,152.45,152.49,151.12,152.25,"2,105,571"
12/01/2016,150.74,152.69,150.39,152.39,"2,843,930"
11/30/2016,151.59,153.08,150.56,150.56,"3,990,972"
11/29/2016,149.83,152.11,149.11,151.64,"3,945,317"
11/28/2016,149.00,150.09,148.32,149.77,"4,728,648"
11/25/2016,150.00,150.15,149.03,150.04,"962,387"
11/24/2016,149.74,149.74,149.74,149.74,"0,000"
11/23/2016,149.61,150.81,149.03,149.74,"3,071,074"
11/22/2016,147.90,149.76,147.88,149.52,"3,770,002"
11/21/2016,147.21,148.49,146.52,147.02,"2,825,845"
11/18/2016,145.18,146.60,144.46,146.35,"2,214,419"
11/17/2016,146.83,147.12,145.00,145.33,"3,655,624"
11/16/2016,147.30,148.41,146.14,146.44,"3,553,694"
11/15/2016,148.44,149.45,147.19,148.11,"3,856,481"
11/14/2016,148.21,150.09,148.21,149.99,"4,470,998"
11/11/2016,147.12,148.60,146.56,148.52,"3,585,163"
11/10/2016,146.51,149.34,146.39,147.69,"6,507,790"
11/09/2016,141.60,145.85,141.54,145.09,"5,493,728"
11/08/2016,141.92,143.31,141.29,142.20,"2,822,675"
11/07/2016,141.50,143.10,141.49,143.03,"3,227,791"
11/04/2016,139.11,140.85,138.80,139.54,"2,951,457"
11/03/2016,140.76,140.90,139.35,140.02,"2,280,825"
11/02/2016,142.00,142.87,140.59,140.75,"2,781,915"
11/01/2016,142.95,143.90,141.81,142.41,"3,244,997"
10/31/2016,143.05,143.35,142.15,142.43,"3,075,889"
10/28/2016,143.72,144.00,142.17,143.01,"4,636,040"
10/27/2016,145.83,146.23,141.78,143.31,"7,855,241"
10/26/2016,138.43,146.19,136.72,145.54,"13,271,944"
10/25/2016,137.53,139.42,137.35,139.02,"5,206,934"
10/24/2016,136.41,138.88,136.41,137.45,"3,814,097"
10/21/2016,134.72,136.19,134.25,135.63,"2,205,772"
10/20/2016,135.92,136.75,135.37,135.84,"2,539,711"
10/19/2016,135.42,136.95,135.33,136.18,"2,261,040"
10/18/2016,135.03,135.74,134.92,135.10,"2,271,047"
10/17/2016,133.50,135.38,133.33,134.00,"2,435,134"
10/14/2016,134.56,135.25,133.48,133.50,"2,317,429"
10/13/2016,132.42,133.93,131.39,133.38,"3,544,190"
10/12/2016,133.76,134.28,133.00,133.16,"2,264,188"
10/11/2016,134.94,135.69,133.27,133.74,"3,606,930"
10/10/2016,134.59,136.87,134.59,135.84,"3,343,271"
10/07/2016,133.93,134.66,132.54,133.85,"4,301,931"
10/06/2016,134.83,135.00,133.68,134.42,"3,614,860"
10/05/2016,132.93,134.90,132.55,134.66,"3,128,149"
10/04/2016,132.77,133.23,131.69,132.25,"2,829,188"
10/03/2016,131.28,132.72,130.74,132.38,"2,435,765"
09/30/2016,132.09,132.63,131.27,131.74,"3,117,179"
09/29/2016,131.80,132.78,130.68,131.03,"2,199,345"
09/28/2016,131.59,132.36,130.59,132.23,"1,772,865"
